fight_id,event_id,fighter_name,fighter_id,kd,sig_str_landed,sig_str_atmpted,sig_str_acc,total_str_landed,total_str_atmpted,total_str_acc,td_landed,td_atmpted,td_acc,sub_att,ctrl,head_landed,head_atmpted,head_acc,body_landed,body_atmpted,body_acc,leg_landed,leg_atmpted,leg_acc,dist_landed,dist_atmpted,dist_acc,clinch_landed,clinch_atmpted,clinch_acc,ground_landed,ground_atmpted,ground_acc,landed_head_per,landed_body_per,landed_leg_per,landed_dist_per,landed_clinch_per,landed_ground_per,corner
92d0c39f0df77c7e,6d7886b094b471ac,Frank Mir,1ff9589f9065a9ed,0,6,8,75,7,9,78,1,2,50,1,72,1,3,33,3,3,100,2,2,100,0,2,0,6,6,100,0,0,,16,50,33,0,100,0,R
69d6d58d58cb81e3,6d7886b094b471ac,Tito Ortiz,2f732dd9210d301f,0,9,17,52,13,21,62,0,1,0,0,56,7,14,50,2,3,67,0,0,,4,10,40,5,7,71,0,0,,77,22,0,44,55,0,R
8abe79e6d300b639,6d7886b094b471ac,Mark Hominick,0a97691039c4bbfb,0,0,1,0,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,,0,1,0,0,0,,0,0,,33,34,33,33,34,33,R
834968d130e1f0e9,6d7886b094b471ac,Jon Jones,07f72a2a7591b409,1,24,53,45,26,55,47,1,2,50,1,86,6,21,28,6,13,46,12,19,63,14,40,35,7,9,78,3,4,75,25,25,50,58,29,12,R
dbe53d31f4c1ccf7,6d7886b094b471ac,Claude Patrick,56116a79e4deed06,0,28,47,59,65,84,77,0,3,0,3,85,13,27,48,14,16,88,1,4,25,3,15,20,25,32,78,0,0,,46,50,3,10,89,0,R
76d18b94f580be6e,6d7886b094b471ac,Jared Hamman,23459ee7e373b98f,0,9,25,36,9,25,36,0,1,0,0,5,0,12,0,2,2,100,7,11,64,8,24,33,1,1,100,0,0,,0,22,77,88,11,0,R
e03ec6b24fca2386,6d7886b094b471ac,Krzysztof Soszynski,59583ff832fe9d68,0,4,8,50,4,8,50,0,0,,0,0,3,7,43,1,1,100,0,0,,4,8,50,0,0,,0,0,,75,25,0,100,0,0,R
fd0c847858bd346f,6d7886b094b471ac,John Makdessi,c21a036b4e012f1c,0,0,0,,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,33,34,33,33,34,33,R
70995170c27c4143,6d7886b094b471ac,Mark Bocek,cf9d24e4bd0cf2ce,0,46,85,54,102,143,71,5,7,71,0,699,23,59,39,16,19,84,7,7,100,12,25,48,7,7,100,27,53,51,50,34,15,26,15,58,R
fef109b9f26585b3,6d7886b094b471ac,Walel Watson,92aafa8f4b26269b,0,47,163,28,60,178,34,0,1,0,2,75,21,112,19,11,22,50,15,29,52,41,157,26,3,3,100,3,3,100,44,23,31,87,6,6,R
d6d812269487071e,6d7886b094b471ac,Rich Attonito,210935fd21670f6d,0,17,27,62,42,56,75,1,2,50,0,243,13,22,59,3,4,75,1,1,100,4,6,67,0,1,0,13,20,65,76,17,5,23,0,76,R
f182b13c6e07dfb1,1f5f75658551f2d3,Michael Bisping,2b93ebd9f5417ad2,0,102,192,53,150,244,61,0,0,,0,192,86,174,49,12,14,86,4,4,100,65,137,47,11,17,65,26,38,68,84,11,3,63,10,25,R
e094423979fc7c6a,6d7886b094b471ac,Mitch Clarke,c76ec2bc3a57666a,0,17,131,12,25,139,18,0,3,0,0,17,10,120,8,2,4,50,5,7,71,14,122,11,3,9,33,0,0,,58,11,29,82,17,0,R
9a3908ab337c5f3f,1f5f75658551f2d3,TJ Dillashaw,c849740a3ff51931,0,2,21,9,2,21,10,0,0,,0,0,0,13,0,1,4,25,1,4,25,2,21,10,0,0,,0,0,,0,50,50,100,0,0,R
