fight_key,fighter,opponent,event_date,weight_class,method,finish_round,finish_time,scraped_at,is_decision,is_ko_tko,is_submission,kd_avg_3,kd_sum_3,sig_landed_avg_3,sig_landed_sum_3,sig_attempted_avg_3,sig_attempted_sum_3,sig_pct_avg_3,sig_pct_sum_3,tot_landed_avg_3,tot_landed_sum_3,tot_attempted_avg_3,tot_attempted_sum_3,td_landed_avg_3,td_landed_sum_3,td_attempted_avg_3,td_attempted_sum_3,td_pct_avg_3,td_pct_sum_3,sub_attempts_avg_3,sub_attempts_sum_3,passes_avg_3,passes_sum_3,reversals_avg_3,reversals_sum_3,head_landed_avg_3,head_landed_sum_3,head_attempted_avg_3,head_attempted_sum_3,body_landed_avg_3,body_landed_sum_3,body_attempted_avg_3,body_attempted_sum_3,leg_landed_avg_3,leg_landed_sum_3,leg_attempted_avg_3,leg_attempted_sum_3,dist_landed_avg_3,dist_landed_sum_3,dist_attempted_avg_3,dist_attempted_sum_3,clinch_landed_avg_3,clinch_landed_sum_3,clinch_attempted_avg_3,clinch_attempted_sum_3,ground_landed_avg_3,ground_landed_sum_3,ground_attempted_avg_3,ground_attempted_sum_3,opp_kd_avg_3,opp_kd_sum_3,opp_sig_landed_avg_3,opp_sig_landed_sum_3,opp_sig_attempted_avg_3,opp_sig_attempted_sum_3,opp_td_landed_avg_3,opp_td_landed_sum_3,opp_td_attempted_avg_3,opp_td_attempted_sum_3,opp_sub_attempts_avg_3,opp_sub_attempts_sum_3,opp_passes_avg_3,opp_passes_sum_3,opp_reversals_avg_3,opp_reversals_sum_3
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|iwo-baraniewski-v-ibo-aslan,Ibo Aslan,Iwo Baraniewski,"December 06, 2025",Heavyweight,KO/TKO,1,1:29,2026-03-01 02:40:12,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|mansur-abdul-malik-v-antonio-trocoli,Mansur Abdul Malik,Antonio Trocoli,"December 06, 2025",Middleweight,Submission,1,1:09,2026-03-01 02:40:14,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|mansur-abdul-malik-v-antonio-trocoli,Antonio Trocoli,Mansur Abdul Malik,"December 06, 2025",Middleweight,Submission,1,1:09,2026-03-01 02:40:14,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|muhammad-naimov-v-mairon-santos,Muhammad Naimov,Mairon Santos,"December 06, 2025",Featherweight,KO/TKO,3,0:21,2026-03-01 02:40:16,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|muhammad-naimov-v-mairon-santos,Mairon Santos,Muhammad Naimov,"December 06, 2025",Featherweight,KO/TKO,3,0:21,2026-03-01 02:40:16,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|arman-tsarukyan-v-dan-hooker,Arman Tsarukyan,Dan Hooker,,Lightweight,Submission,2,3:34,2026-03-01 02:40:18,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|arman-tsarukyan-v-dan-hooker,Dan Hooker,Arman Tsarukyan,,Lightweight,Submission,2,3:34,2026-03-01 02:40:18,0,0,1,0.0,0.0,30.0,30.0,47.0,47.0,63.83,63.83,51.0,51.0,68.0,68.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,19.0,19.0,32.0,32.0,8.0,8.0,12.0,12.0,3.0,3.0,3.0,3.0,28.0,28.0,44.0,44.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,127.0,127.0,2.0,2.0,9.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|belal-muhammad-v-ian-machado-garry,Belal Muhammad,Ian Machado Garry,,Welterweight,Decision - Unanimous,3,5:00,2026-03-01 02:40:20,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|belal-muhammad-v-ian-machado-garry,Ian Machado Garry,Belal Muhammad,,Welterweight,Decision - Unanimous,3,5:00,2026-03-01 02:40:20,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-tsarukyan-vs-hooker|volkan-oezdemir-v-alonzo-menifield,Volkan Oezdemir,Alonzo Menifield,,Heavyweight,KO/TKO,1,1:27,2026-03-01 02:40:22,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
