fight_id,event_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_id,b_id,winner_id,winner
4dc5039b21013b3a,ddbd0d6259ce57cc,flyweight,1,Submission,1,288,5,Marc Goddard,aa72b0f831d0bfe5,80eacd4da0617c57,aa72b0f831d0bfe5,Deiveson Figueiredo
fcfd2e6eed519cb9,ddbd0d6259ce57cc,middleweight,0,Submission,1,78,3,Herb Dean,0a1942069c9ad6b6,8c0580d4fff106c1,0a1942069c9ad6b6,Jack Hermansson
87daaa6db4f6940c,dde70a112e053a6c,welterweight,0,Decision - Unanimous,3,300,3,Daniel Movahedi,abd5fb12437eda21,62f7097c04311193,abd5fb12437eda21,Ramazan Emeev
c4c379b8f99fea88,ddbd0d6259ce57cc,women's flyweight,0,Submission,1,88,3,Daniel Movahedi,6551c64fbcd1a467,528b071cf3da7c56,6551c64fbcd1a467,Ariane da Silva
e5872dfa5b93fcbb,ddbd0d6259ce57cc,lightweight,0,Decision - Unanimous,3,300,3,Rich Mitchell,32c355b04fc57f3a,c814b4c899793af6,c814b4c899793af6,Rafael Fiziev
ba4485ce4e8e3fe1,ddbd0d6259ce57cc,flyweight,0,Decision - Unanimous,3,300,3,Marc Goddard,a0f0004aadf10b71,b1d19449397541dc,b1d19449397541dc,Askar Askarov
e5a9f75b1117d848,ddbd0d6259ce57cc,light heavyweight,0,KO/TKO,1,255,3,Herb Dean,327d5f279895110d,c3218c810959d279,327d5f279895110d,Roman Dolidze
b76c0b0ed2926737,ddbd0d6259ce57cc,lightweight,0,Submission,1,145,3,Marc Goddard,654ae722109a0d31,58bbef3770bb2dfc,58bbef3770bb2dfc,Joel Alvarez
bb881d4ee6dfbf86,ddbd0d6259ce57cc,catch weight,0,Decision - Unanimous,3,300,3,Daniel Movahedi,99bd51917728c25d,776a58a67665a171,99bd51917728c25d,Grant Dawson
b9b0da84b243213f,ddbd0d6259ce57cc,bantamweight,0,Submission,1,282,3,Herb Dean,dee294e9717012c2,6d35bf94f7d30241,6d35bf94f7d30241,Amir Albazi
b5f70d0c88f12645,ddbd0d6259ce57cc,bantamweight,0,Decision - Unanimous,3,300,3,Daniel Movahedi,ec52462a1b41f714,cc1a8b4b38b92c6d,ec52462a1b41f714,Brett Johns
ecb24300bb3bef8c,ddbd0d6259ce57cc,lightweight,0,Decision - Unanimous,3,300,3,Daniel Movahedi,0052de90691d4a93,eae48ff31db420c2,eae48ff31db420c2,Arman Tsarukyan
147e31abbe3927d0,ddbd0d6259ce57cc,heavyweight,0,Decision - Majority,3,300,3,Rich Mitchell,a2ea77e974c5889f,e2f6b2769aaedd6c,e2f6b2769aaedd6c,Serghei Spivac
abeaae1a64934178,18f5669a92e99d92,featherweight,0,Decision - Unanimous,5,300,5,Herb Dean,751de04455cfaac0,82a5152216251682,751de04455cfaac0,Calvin Kattar
7dbf23cb872edc9c,18f5669a92e99d92,flyweight,0,Decision - Unanimous,3,300,3,Marc Goddard,c96d9178c9ed9e62,20999e27ddd94bda,c96d9178c9ed9e62,Tim Elliott
d4c314616eac8f8b,18f5669a92e99d92,featherweight,0,Decision - Unanimous,3,300,3,Daniel Movahedi,9c907996820d2d69,bf7ad5628363eec9,9c907996820d2d69,Jimmie Rivera
7fd810af30144119,18f5669a92e99d92,middleweight,0,Submission,2,72,3,Herb Dean,e9ac7bfb65c25497,767755fd74662dbf,767755fd74662dbf,Khamzat Chimaev
15def71ff1679e06,18f5669a92e99d92,women's flyweight,0,Decision - Unanimous,3,300,3,Rich Mitchell,51018a31ddf31eb2,f7467152fd9f18a2,f7467152fd9f18a2,Taila Santos
33d2a1dbb8a7fef5,18f5669a92e99d92,welterweight,0,Decision - Unanimous,3,300,3,Daniel Movahedi,eae431e70064e046,49ee5024966efc0d,49ee5024966efc0d,Mounir Lazzez
f3efc6121c5323ff,18f5669a92e99d92,featherweight,0,KO/TKO,1,258,3,Rich Mitchell,1ae8f3c723aacff4,396fe87b84ac2e1c,396fe87b84ac2e1c,Lerone Murphy
0e969ae805006d1f,18f5669a92e99d92,light heavyweight,0,KO/TKO,1,300,3,Daniel Movahedi,476fe566d2df676e,79325a3c1a5c3bf4,476fe566d2df676e,Modestas Bukauskas
819f51ef9d945a46,18f5669a92e99d92,featherweight,0,Decision - Unanimous,3,300,3,Marc Goddard,7026eca45f65377b,bebb4ae55ac2bf6f,7026eca45f65377b,Jared Gordon
dccea04cc3567955,18f5669a92e99d92,women's flyweight,0,Submission,1,163,3,Rich Mitchell,d7e40dca3ae125be,eebc23626e38f5dc,eebc23626e38f5dc,Liana Jojua
f3c42ce9fad55eb7,18f5669a92e99d92,bantamweight,0,Submission,2,149,3,Herb Dean,b8a85389d115e35a,34c2b3656f88f7ef,b8a85389d115e35a,Jack Shore
94b1596c6ff9a25d,dbd198f780286aca,featherweight,1,Decision - Split,5,300,5,Herb Dean,e1248941344b3288,150ff4cc642270b9,e1248941344b3288,Alexander Volkanovski
d292243c6499b2fe,dbd198f780286aca,welterweight,1,Decision - Unanimous,5,300,5,Marc Goddard,f1b2aa7853d1ed6e,47b9e0e7703a4868,f1b2aa7853d1ed6e,Kamaru Usman
0f9be7ac405772f8,dbd198f780286aca,bantamweight,1,KO/TKO,5,204,5,Leon Roberts,d661ce4da776fc20,d0f3959b4a9747e6,d661ce4da776fc20,Petr Yan
6e0c1faaf40caf9a,dbd198f780286aca,women's flyweight,0,Submission,1,141,3,Rich Mitchell,beecb672a279223e,4d5197f331c47290,beecb672a279223e,Amanda Ribas
e16f42a666e163d8,dbd198f780286aca,women's strawweight,0,Decision - Split,3,300,3,Daniel Movahedi,6a1901c62ab3870f,47b63240018d5d86,47b63240018d5d86,Rose Namajunas
cd8cdb539deaa47f,dbd198f780286aca,light heavyweight,0,KO/TKO,2,49,3,Marc Goddard,0845c81e37d3bcb3,009341ed974bad72,009341ed974bad72,Jiri Prochazka
ce7cd2ec773bea7f,dbd198f780286aca,welterweight,0,Decision - Split,3,300,3,Herb Dean,8adcbd525fab8d9b,447f9858ae78f921,447f9858ae78f921,Muslim Salikhov
7c76c752c7abf2e0,dbd198f780286aca,lightweight,0,Decision - Unanimous,3,300,3,Marc Goddard,9c65736747ca92ec,d61316139d68dbe3,9c65736747ca92ec,Leonardo Santos
159646a9d2ae8ea5,dbd198f780286aca,featherweight,0,Submission,1,195,3,Leon Roberts,87a1dc546b1c5caf,f7d73e452b064bf2,87a1dc546b1c5caf,Makwan Amirkhani
137646de0ffd9c35,dbd198f780286aca,heavyweight,0,Decision - Unanimous,3,300,3,Herb Dean,c9cf753cfdf77fc2,950d0ef5c17157c5,c9cf753cfdf77fc2,Marcin Tybura
0e8d5c16eb9cb1cf,dbd198f780286aca,flyweight,0,Decision - Unanimous,3,300,3,Leon Roberts,82b4e942781b1046,55fa6ce3e522c8bb,82b4e942781b1046,Raulian Paiva
5d6fb4acfe5cc8a1,dbd198f780286aca,bantamweight,0,KO/TKO,3,158,3,Rich Mitchell,ea3dcc417c322064,113df4fde64735c6,113df4fde64735c6,Davey Grant
08e48648e3504638,dbd198f780286aca,women's bantamweight,0,Decision - Unanimous,3,300,3,Daniel Movahedi,351c4ec637380ad5,9b7dfb3b7d99926a,351c4ec637380ad5,Karol Rosa
f8dd1e75978a3957,c32eab6c2119e989,lightweight,0,Decision - Unanimous,5,300,5,Herb Dean,029eaff01e6bb8f0,193b9d1858bc4df3,029eaff01e6bb8f0,Dustin Poirier
9ce56acac775d386,c32eab6c2119e989,heavyweight,0,Submission,3,224,3,Mark Smith,fcd448a2fe1a23cc,068f8a189a47fea6,068f8a189a47fea6,Maurice Greene
f2d9814936a6eb35,c32eab6c2119e989,welterweight,0,Decision - Unanimous,3,300,3,Keith Peterson,f2b6fdb20675b11c,9e50097a89442158,f2b6fdb20675b11c,Mike Perry
cfd47fddbb705f26,c32eab6c2119e989,middleweight,0,Decision - Unanimous,3,300,3,Chris Tognoni,2f181c0467965b98,d6c0cdd7e467c440,2f181c0467965b98,Brendan Allen
67ed3ad521ef619c,c32eab6c2119e989,welterweight,0,KO/TKO,1,48,3,Chris Tognoni,8abac218746e04ca,5f3805dda9661cba,8abac218746e04ca,Takashi Sato
8a8fea2c10512434,c32eab6c2119e989,catch weight,0,Submission,3,164,3,Keith Peterson,4682bc59d5f55145,902ec2cc48c8ae8a,902ec2cc48c8ae8a,Julian Erosa
9025e3c6b6d71253,c32eab6c2119e989,lightweight,0,Submission,3,173,3,Mark Smith,2844b047183a1adb,78e501478a36a018,78e501478a36a018,Khama Worthy
75570ea2da94a4fb,c32eab6c2119e989,heavyweight,0,KO/TKO,1,161,3,Herb Dean,53c943c873cffe90,04c8b08b16a5b99e,04c8b08b16a5b99e,Tanner Boser
1b8d366ac0f110f3,c32eab6c2119e989,women's strawweight,0,Submission,3,146,3,Keith Peterson,4100c7a09497ad41,d05cb1e8d1b885d8,4100c7a09497ad41,Kay Hansen
0f369d09416b9e34,c32eab6c2119e989,featherweight,0,Decision - Unanimous,3,300,3,Herb Dean,ebef46976554f975,52c2ae6d2f2d2613,52c2ae6d2f2d2613,Youssef Zalal
0c3622569cd8062a,2eab7a6c8b0ed8cc,heavyweight,0,Decision - Unanimous,5,300,5,Herb Dean,fa6796c55d6c5440,279566840aa55bf2,fa6796c55d6c5440,Curtis Blaydes
4f99b4a39925cb47,2eab7a6c8b0ed8cc,featherweight,0,Decision - Unanimous,3,300,3,Jason Herzog,fba03cd6cc28dc41,98d961097baaf308,fba03cd6cc28dc41,Josh Emmett
8b9e9f283e76b429,2eab7a6c8b0ed8cc,women's bantamweight,0,Decision - Unanimous,3,300,3,Mark Smith,fc169c387b4b465d,c7d297714d9ab1a4,fc169c387b4b465d,Raquel Pennington
9b39e15b42422a08,2eab7a6c8b0ed8cc,catch weight,0,Submission,1,145,3,Herb Dean,d1941565abf50b16,37c5366d18ed6c05,d1941565abf50b16,Jim Miller
f00921c62315be96,2eab7a6c8b0ed8cc,welterweight,0,Decision - Unanimous,3,300,3,Chris Tognoni,b1b0729d27936f2f,4e0692ad070976e4,b1b0729d27936f2f,Belal Muhammad
d851cbbbdfd05a49,2eab7a6c8b0ed8cc,lightweight,0,Decision - Unanimous,3,300,3,Jason Herzog,c47df9303d318c67,887961364be5ceb3,887961364be5ceb3,King Green
1adee75d6c671cc8,2eab7a6c8b0ed8cc,women's strawweight,0,Decision - Unanimous,3,300,3,Mark Smith,31ef8b67e13495b3,b53c46f613f6f248,31ef8b67e13495b3,Tecia Pennington
f044802db5688bbe,2eab7a6c8b0ed8cc,middleweight,0,Overturned,2,290,3,Chris Tognoni,8e9eb3fc86db0f7d,1cf7ccf64a5bf24e,,
90715135a543b6e3,2eab7a6c8b0ed8cc,women's flyweight,0,Submission,3,276,3,Jason Herzog,5f179af5fffeb9f6,38c7f72747f4f712,38c7f72747f4f712,Gillian Robertson
7f0175f71481b63d,2eab7a6c8b0ed8cc,lightweight,0,KO/TKO,1,41,3,Herb Dean,764342d39cdaa54a,304a21d0595e1a08,304a21d0595e1a08,Justin Jaynes
088b47d890b389e9,2eab7a6c8b0ed8cc,women's flyweight,0,Decision - Unanimous,3,300,3,Chris Tognoni,4498b382c65a7faa,729d4bd5a6cd0a97,729d4bd5a6cd0a97,Lauren Murphy
d333a6c34ff16397,2eab7a6c8b0ed8cc,lightweight,0,TKO - Doctor's Stoppage,2,300,3,Mark Smith,d2cd7a69cc55e7ed,59a27d2e6d0802ac,d2cd7a69cc55e7ed,Austin Hubbard
b8b692aa2aae3310,1e13936d708bcff7,women's flyweight,0,Decision - Unanimous,5,300,5,Herb Dean,f72465a784c1b084,98215d037be5bcb7,98215d037be5bcb7,Cynthia Calvillo
e857ca0bc3b9fdcd,1e13936d708bcff7,middleweight,0,Submission,1,257,3,Dan Miragliotta,37d5b176d438d2a5,7acbb0972e75281a,7acbb0972e75281a,Marvin Vettori
1109a8f2adc81ce0,1e13936d708bcff7,lightweight,0,Decision - Split,3,300,3,Mark Smith,40093d1d2d78394e,cf946e03ba2e7666,40093d1d2d78394e,Charles Rosa
cab532b4544580bd,1e13936d708bcff7,featherweight,0,Decision - Split,3,300,3,Chris Tognoni,8fd808923cffff82,f1d64ae34e088832,8fd808923cffff82,Andre Fili
e36b8b88646f72f8,1e13936d708bcff7,bantamweight,0,Decision - Unanimous,3,300,3,Herb Dean,215a70f073a7b726,f57dd0bfa8c17813,215a70f073a7b726,Jordan Espinosa
7606d2f8d8b0e889,1e13936d708bcff7,women's flyweight,0,Submission,1,162,3,Dan Miragliotta,a08ddd04eaffd81d,2244d9a2b64b8c3b,a08ddd04eaffd81d,Mariya Agapova
05061dd590c9eb34,1e13936d708bcff7,catch weight,0,Decision - Unanimous,3,300,3,Mark Smith,c03520b5c88ed6b4,93b62c5f2ba18e51,c03520b5c88ed6b4,Merab Dvalishvili
97125cd6a94b6394,1e13936d708bcff7,women's bantamweight,0,KO/TKO,1,22,3,Chris Tognoni,86d9dbe1bfcbade7,016a8d958883167c,86d9dbe1bfcbade7,Julia Avila
dfbb110855354039,1e13936d708bcff7,bantamweight,0,KO/TKO,1,32,3,Herb Dean,6e00cfffd54653c4,79cb2a690b9ba5e8,6e00cfffd54653c4,Tyson Nam
58e72b1a38880ba9,1e13936d708bcff7,welterweight,0,KO/TKO,1,59,3,Dan Miragliotta,3c5005b66696d790,ae071698e1a3ccd4,ae071698e1a3ccd4,Christian Aguilera
